iter	MultiClass
1712	0.003369441958
1713	0.003367081419
1714	0.003366152078
1715	0.003365087621
1716	0.003362711348
1717	0.003361021564
1718	0.003359618742
1719	0.003356898945
1720	0.003353347449
1721	0.003350650426
1722	0.00334840082
1723	0.003344772532
1724	0.003341921331
1725	0.003339028786
1726	0.003336410816
1727	0.003334660873
1728	0.003332995333
1729	0.003331323949
1730	0.003330489311
1731	0.003328206725
1732	0.003326640362
1733	0.003325137903
1734	0.003322345543
1735	0.003321276612
1736	0.003317865043
1737	0.003316430617
1738	0.003314036451
1739	0.003311943817
1740	0.003309064172
1741	0.003307564089
1742	0.003305255971
1743	0.003302020708
1744	0.003299869607
1745	0.003297926513
1746	0.003295821666
1747	0.00329324703
1748	0.003292058998
1749	0.003289662084
1750	0.003287934498
1751	0.00328519381
1752	0.003283957894
1753	0.0032820044
1754	0.003278839459
1755	0.003276696549
1756	0.003274554535
1757	0.003272794725
1758	0.003271717443
1759	0.003270492959
1760	0.003266627764
1761	0.003262500822
1762	0.003260158969
1763	0.003257837868
1764	0.003256999558
1765	0.003254845944
1766	0.003252499964
1767	0.003250523167
1768	0.003248093113
1769	0.003246686448
1770	0.00324476898
1771	0.003242797705
1772	0.003240257708
1773	0.003238520521
1774	0.003237617844
1775	0.00323625856
1776	0.003234298298
1777	0.003230638642
1778	0.003227485126
1779	0.003225769005
1780	0.003224369041
1781	0.003221741301
1782	0.003218869996
1783	0.003216917063
1784	0.003216299567
1785	0.003213964669
1786	0.003211283442
1787	0.003208565357
1788	0.003205458587
1789	0.003202753207
1790	0.003201067644
1791	0.00320036302
1792	0.003197327386
1793	0.003195395973
1794	0.003192517424
1795	0.003190830987
1796	0.003188196349
1797	0.003186058818
1798	0.003181972527
1799	0.00318006275
1800	0.003177711519
1801	0.003175999827
1802	0.003173687107
1803	0.003171898828
1804	0.003168483088
1805	0.003167490569
1806	0.003164628111
1807	0.003162990227
1808	0.003161905362
1809	0.003159990391
1810	0.00315820429
1811	0.003157036173
1812	0.00315555842
1813	0.003154215188
1814	0.003151933919
1815	0.003150421191
1816	0.003147658189
1817	0.003145252779
1818	0.003143346605
1819	0.003140352451
1820	0.003136794489
1821	0.003135009103
1822	0.003133218518
1823	0.003131613848
1824	0.003129736613
1825	0.003125442398
1826	0.003123487547
1827	0.003121628124
1828	0.0031181182
1829	0.003116406371
1830	0.003114389323
1831	0.00311234437
1832	0.003110587975
1833	0.00310872446
1834	0.003106982255
1835	0.003105274407
1836	0.003102950831
1837	0.003101273935
1838	0.003098710641
1839	0.003097303585
1840	0.003095227729
1841	0.003093962733
1842	0.003092876979
1843	0.003091433898
1844	0.003088941121
1845	0.003087151915
1846	0.00308524965
1847	0.003083673398
1848	0.003081667102
1849	0.003079448944
1850	0.003077486404
1851	0.003075882865
1852	0.003074578003
1853	0.003073717431
1854	0.0030719341
1855	0.003070277409
1856	0.003067887348
1857	0.0030663648
1858	0.003064899528
1859	0.003062397753
1860	0.003061139452
1861	0.003058906989
1862	0.003057508973
1863	0.003055590798
1864	0.003053371698
1865	0.003049773328
1866	0.003047849617
1867	0.003045649711
1868	0.003042449041
1869	0.003041262889
1870	0.003039122547
1871	0.003037874348
1872	0.003035294356
1873	0.00303141957
1874	0.003030039485
1875	0.003028242979
1876	0.003026556943
1877	0.003024658547
1878	0.003023704183
1879	0.003022522047
1880	0.003021843149
1881	0.003021251518
1882	0.003019947753
1883	0.003018172071
1884	0.003017089748
1885	0.003015652961
1886	0.003014225809
1887	0.003012871212
1888	0.003010797397
1889	0.003009279171
1890	0.003008052556
1891	0.003006279927
1892	0.003004208631
1893	0.003001348506
1894	0.002999630161
1895	0.002997815087
1896	0.00299637439
1897	0.002994524097
1898	0.002992310367
1899	0.002991302947
1900	0.002989322701
1901	0.002988667216
1902	0.002986461727
1903	0.002983820669
1904	0.002982250666
1905	0.002981105583
1906	0.002979619489
1907	0.002979056149
1908	0.002977468254
1909	0.002975018381
1910	0.002974216022
1911	0.002971447216
1912	0.002970619438
1913	0.002968911863
1914	0.002965921923
1915	0.00296427385
1916	0.002962709665
1917	0.00296173273
1918	0.002960109358
1919	0.002958914223
1920	0.002957380165
1921	0.002955982272
1922	0.002954503876
1923	0.002952197054
1924	0.002949612205
1925	0.002948127269
1926	0.002946050505
1927	0.002944940027
1928	0.00294298111
1929	0.002941055487
1930	0.002939022961
1931	0.002937382234
1932	0.002936462893
1933	0.002934917523
1934	0.002933614337
1935	0.002932417757
1936	0.002931709672
1937	0.002928751917
1938	0.002927558555
1939	0.002925328628
1940	0.002923679828
1941	0.002920398874
1942	0.002918579013
1943	0.00291587073
1944	0.002914989195
1945	0.002913177997
1946	0.00291230707
1947	0.002910201747
1948	0.002907639497
1949	0.002905205928
1950	0.002902945996
1951	0.002900811227
1952	0.002898766407
1953	0.002897338323
1954	0.002896190665
1955	0.002894181363
1956	0.002892319209
1957	0.002890791001
1958	0.002889190212
1959	0.002887963007
1960	0.002886467384
1961	0.002885333051
1962	0.002883584749
1963	0.002882455042
1964	0.002881105425
1965	0.002879486317
1966	0.002877605683
1967	0.002875272382
1968	0.002874418729
1969	0.002872696626
1970	0.002871248415
1971	0.002868996054
1972	0.002865978075
1973	0.002864749065
1974	0.002863759428
1975	0.002861632538
1976	0.002859199682
1977	0.002857248851
1978	0.002854646937
1979	0.002851887989
1980	0.002851357558
1981	0.002848684407
1982	0.002846733687
1983	0.002845640185
1984	0.002843625347
1985	0.002842098523
1986	0.00284053981
1987	0.002838755269
1988	0.00283716045
1989	0.002835773256
1990	0.002834031531
1991	0.002832480217
1992	0.002830158008
1993	0.002829164516
1994	0.002827698813
1995	0.002826192788
1996	0.002824719077
1997	0.002823418507
1998	0.002821640454
1999	0.002819741016
2000	0.002818981616
2001	0.002817441302
2002	0.002815479382
2003	0.002813846555
2004	0.002812183871
2005	0.002809871192
2006	0.002808256736
2007	0.002806770816
2008	0.002805176021
2009	0.002803390813
2010	0.002802260881
2011	0.002799868588
2012	0.002797705274
2013	0.002796303331
2014	0.002795446311
2015	0.00279385231
2016	0.002792585568
2017	0.002791958635
2018	0.002790826673
2019	0.002789543747
2020	0.002787758609
2021	0.002787190213
2022	0.002786208612
2023	0.00278453011
2024	0.00278399155
2025	0.002782408904
2026	0.002781205008
2027	0.002779692034
2028	0.002778379773
2029	0.002776765707
2030	0.00277509778
2031	0.002772745044
2032	0.002770573488
2033	0.002768930996
2034	0.002768159826
2035	0.002766894793
2036	0.002765164131
2037	0.002763855078
2038	0.002761929663
2039	0.002758308725
2040	0.002756334328
2041	0.002754987495
2042	0.002752752177
2043	0.002751824862
2044	0.002750767403
2045	0.002749897427
2046	0.002748730584
2047	0.002747413219
2048	0.002746365603
2049	0.002744311866
2050	0.00274185191
2051	0.002740628027
2052	0.002739926643
2053	0.002738984504
2054	0.002736403679
2055	0.002735342262
2056	0.002733553508
2057	0.002731802572
2058	0.00272996942
2059	0.002728445205
2060	0.002726907687
2061	0.002724753015
2062	0.002723493892
2063	0.002722498109
2064	0.002720910086
2065	0.00271933599
2066	0.002718008687
2067	0.002716347352
2068	0.00271543989
2069	0.002713591439
2070	0.002712754504
2071	0.002711608184
2072	0.002710474665
2073	0.002708917079
2074	0.002707803953
2075	0.002706837927
2076	0.00270510693
2077	0.002704180049
2078	0.002702752779
2079	0.002700913914
